path	bytes	sha256	role
assets/icons/quiz.svg	15465	7f1ebcb406071305262849ade8a8428a746826ecf7080cd6c2cb5a6159083402	assets-required-cargo
assets/icons/rocket.svg	2906	45d404303abd07f0d63f825a04547aae3e3f548ca1aeed7f92fe39a10596c046	assets-required-cargo
assets/icons/save.svg	2883	b1e567e87cf89351177bfe6d3ec3d573c81c2b88527a70d635079952726bab79	assets-required-cargo
assets/icons/search.svg	2008	b196172ea61cfe1b244ccbd906ff24f945c8bbcafbf0aea476dfe556f5175690	assets-required-cargo
assets/icons/send.svg	2161	9aa843334fd16f5540a7fce2fc37148d06697a8e2da59dca2d377fd9ad305115	assets-required-cargo
assets/icons/share.svg	2627	1d93bc50da43522600a1ee51875ec27abb64cfad10af13e318060f6993a0f679	assets-required-cargo
assets/icons/slide-deck-3.svg	8013	ec279af6061d94a72ac467a698cf8a0df492ac4e46659609a73eef385a4348f8	assets-required-cargo
assets/icons/slide-deck.svg	22524	7950b130df84547580dea72811ef262a2c1bf6a29d32aca0fa0aae68cfaba407	assets-required-cargo
assets/icons/social-facebook.svg	4282	1c1737cae3fc1b2bfb74440c50bc0118899243054ee121812aa91b0da8e175c6	assets-required-cargo
assets/icons/social-x.svg	1048	ce2ef8c6c07d587801e5fa947ffcb3dad51ba53008e78d16469e515a6ee20fe5	assets-required-cargo
assets/icons/speech-bubble.svg	74127	284fef0adbece3c05b250324ba4e63148c9c47e5cbffb55f7ad6b5664284f2a0	assets-required-cargo
assets/icons/spreadsheet.svg	13896	6d5b48e33c17d0f9d7a1488167169896475312ee40f473515ea5ff3d484009de	assets-required-cargo
assets/icons/subject-art.svg	4946	0e3798317c4879762b0cb2d6b3019fdc54071c5db76b901f3f44f51e070585e8	assets-required-cargo
assets/icons/subject-biology.svg	4107	5dd5917e97444a9d8e8bd028bd49f66fc45e7381e17dd7643166336893dd176a	assets-required-cargo
assets/icons/subject-chemistry.svg	2498	dcfe2d2509ecb8ad916c500af38bfeca66da7e7a0333418a86958551f1bc0678	assets-required-cargo
assets/icons/subject-citizenship.svg	6139	f11465bad38f9475afea58f045f09877052cd6ab83f496551cd809f2e2885c9a	assets-required-cargo
assets/icons/subject-communication-and-language.svg	2452	ea960b164c12df8d040bb1e3965ff538e2969d1f8e38212a8d9af6483c61a09b	assets-required-cargo
assets/icons/subject-computing.svg	12106	b579858db2e10290bbbaea836b759b16eaa034a9b4c3e38456c578a74a8471e0	assets-required-cargo
assets/icons/subject-cooking-nutrition.svg	9726	6b06cac82c63db8573b348a65cfc9e26b201c4093078fd6b53e1836ad3715a45	assets-required-cargo
assets/icons/subject-creative-arts.svg	5620	cae0d0f1f7edbab7b46bb14984ac7fed345ea35ecae2eaf7c529f745269a7805	assets-required-cargo
assets/icons/subject-design-technology.svg	2857	b0b6b8a049e5091b9671b51d3f14219933d8098669ec41ce30ca49658e818396	assets-required-cargo
assets/icons/subject-drama.svg	2119	58beb4e8896a226cc7f1a205edb0f46a167760ca7788c809d82f8fba4ecc5afd	assets-required-cargo
assets/icons/subject-dt.svg	2857	b0b6b8a049e5091b9671b51d3f14219933d8098669ec41ce30ca49658e818396	assets-required-cargo
assets/icons/subject-english-grammar.svg	6876	f1c8a465be57ae8ab2512bbd2ca00bdafed675612be02d0a78c6c7373f133d7c	assets-required-cargo
assets/icons/subject-english-spelling.svg	15498	b65c6869e2af7ebc03517be2c983774483496ab596031d432b148a98cb0d35fe	assets-required-cargo
assets/icons/subject-english.svg	3481	c4618cb6f01863cdcba01c279e60e72e1f22850820798c5efb27484ce57bb389	assets-required-cargo
assets/icons/subject-financial-education.svg	7410	65c99af88558725f0b7408d7a6ad789d1519cd785dba642979d6391722415466	assets-required-cargo
assets/icons/subject-french.svg	23087	b30fe8ebff7434e6480408ae301dc442073926d4c6c909897d918106c04e6b33	assets-required-cargo
assets/icons/subject-geography.svg	11001	1aa138f906565d3614eb6ce20efbbb2b8d9160516cf58493cd35cac3f4309d04	assets-required-cargo
assets/icons/subject-german.svg	13965	04d878d960a4632669c4fed83665de12be975277b4dea7a78b161df14eef044e	assets-required-cargo
assets/icons/subject-handwriting.svg	9070	020f5f54c5e88e34fea8b58bd4d899b25a69fef7678d412a88f07541d4c74350	assets-required-cargo
assets/icons/subject-history.svg	11460	5d0bc1526659f880813b125397e38cc002ad8220ceb1886a247002ebe4ad94b1	assets-required-cargo
assets/icons/subject-independent-living.svg	5519	402ae18745746ab89ae1bde414ef3d94fcb69c9ae3ed819e0363d2a38f0af490	assets-required-cargo
assets/icons/subject-language.svg	24720	7c3f0071487d0f8d9393fae55c1de7d6bb72bc3dfb730888bbd3fc59b784174e	assets-required-cargo
assets/icons/subject-latin.svg	6513	5fa12a280502e4fa1ccf9726ad0432d7c17f216eadb7890cac0455c069290c13	assets-required-cargo
assets/icons/subject-literature.svg	4161	0128f844c64989bb0ea05779b2b0b13a4020296096ac31f7f50e7ad04b009d91	assets-required-cargo
assets/icons/subject-maths.svg	3111	d28f409bf84aa9383b37383da3b7a2a656df936dbade21a4932ea9e3ec2a47be	assets-required-cargo
assets/icons/subject-music.svg	1369	aeb11e5fbcbed26b40b1179d10854f79660014cd8e10193d0c2e660d06c0e3fa	assets-required-cargo
assets/icons/subject-numeracy.svg	3700	c670a523d583e5c84aa1d642888056a4ce9bb5b74764dbf86055f6c9ada95349	assets-required-cargo
assets/icons/subject-pe.svg	29043	de2ef8f3073268d1d299e97404d780f97a15443a10c11621a3713fa6afc3453c	assets-required-cargo
assets/icons/subject-philosophy.svg	3760	627a24d4bfab405935aa812eb85c03549bf579264f10bc638fb1f4f6ced42256	assets-required-cargo
assets/icons/subject-physical-development.svg	3718	f51bdeb4a98d915d303993aac24703ba5a28cc955c9cc7323d6244e51c48f568	assets-required-cargo
assets/icons/subject-physical-education.svg	29043	de2ef8f3073268d1d299e97404d780f97a15443a10c11621a3713fa6afc3453c	assets-required-cargo
assets/icons/subject-physical-therapy.svg	1054	5855a2712169f0cfa27871d1e06964bf7977c9edcb7e04ad2d2d5d8c6bbf131a	assets-required-cargo
assets/icons/subject-physics.svg	3608	905e700b40c31af826c5b7bc434f1f8791ee199e1db4a4bb285fcffde5d7f089	assets-required-cargo
assets/icons/subject-reading-writing-oracy.svg	9591	f1a9e7dbb024cbc26c5923bb155fe04370a778b6bb944b75f64b07f45c598458	assets-required-cargo
assets/icons/subject-religious-education.svg	4972	e2894b51f474b3217344e39a2abb60dc3a47cb7b57917b209e417567250346dc	assets-required-cargo
assets/icons/subject-rshe-pshe.svg	3245	0fd5c3a8115066684c29a9c9a3f3d410e60746a47ad2de646176831750d0fa47	assets-required-cargo
assets/icons/subject-science.svg	4166	d0c5a26234abe9e437fb1c4d5dc95292a2312096f9e55ed5fa4b5f477b591cd1	assets-required-cargo
assets/icons/subject-sensory-integration.svg	2782	4eb72ae78950c87b034bbc3aaed9d0fda4571ccb40b52f5d2ef4886a418895ff	assets-required-cargo
